Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
LEXACALCITOL,5.097415029283646e-05,4.622487177401104e-05,4.673056697540737e-05,4.630634132574989e-05,4.595109789190008e-05,4.6869593750885245e-05,4.64155419236334e-05,4.6970477281154105e-05,5.01352847949102e-05,4.602470202144579e-05,4.548621136017169e-05,4.6012952312140975e-05,4.690851273646926e-05,5.330463792476167e-05,4.655431388066138e-05,4.619078342125611e-05,4.5825024935916277e-05
UNII-GA0E7U1R52,4.64087871336766e-05,4.25733351718246e-05,4.642458838548989e-05,4.3456472002254974e-05,5.075140701138468e-05,4.285186371448128e-05,4.5329246906986257e-05,4.209673021806893e-05,4.9405005518420646e-05,4.56391349633693e-05,4.67740397163001e-05,4.675927611978325e-05,4.991313066255646e-05,5.064391145931583e-05,4.344678495733144e-05,4.407457458255181e-05,4.261759110728441e-05
DOPAMINE HYDROCHLORIDE,4.089316746195168e-05,5.1076502205380435e-05,4.070169595978084e-05,4.909962802281591e-05,5.2465474776135304e-05,5.315858796371095e-05,4.829073732318664e-05,5.250219156524512e-05,4.878749272568927e-05,4.3091139147629215e-05,4.0878053586444985e-05,4.128309113108646e-05,4.1540959733740836e-05,4.138055028826955e-05,4.1425471999502536e-05,4.1401779184130485e-05,4.071597593320834e-05
VIRAL MACROPHAGE INFLAMMATORY PROTEIN-II,4.197466325012282e-05,3.860503900873524e-05,3.911245125795282e-05,3.4394963971606304e-05,4.0150874024331344e-05,3.626262135535348e-05,4.442555480841468e-05,4.2994009189915534e-05,3.9551058572115556e-05,3.6751891981650794e-05,3.6899316849568264e-05,4.0182422642355794e-05,4.2413504205568656e-05,3.729140618443769e-05,3.7912465431615834e-05,4.150084538577645e-05,3.850761074047871e-05
PF 750,0.00078384104158822,0.0008375679574136387,0.0009353313214871925,0.001204333575146269,0.0018382212951910404,0.0014124761722158615,0.0007328978472933639,0.00217338761991453,0.0010041612459794848,0.0007766692474768644,0.0012645423960656597,0.001092091879597568,0.0016007197238689867,5.7896490833668885e-05,0.0010467934205182319,0.0004578066628730842,0.0017122715718376547
CO-1686,0.0020445151481844857,0.003038935553735843,0.0034357128553347636,0.00010720805092932607,0.006771542744064823,0.005154791118102476,9.870841857659063e-05,0.00010198870091407326,0.0036846926152655584,7.952847922167137e-05,0.006518770308849418,0.00011791450569953433,9.368497722563598e-05,6.776265983384184e-05,0.003826414121706525,0.0016638958765276212,9.31295571261472e-05
AM580,0.00037693505362028167,0.0007898001069974689,0.0008810467365149688,0.0011522633601276037,0.0012377366660724872,0.001346394773261162,0.0004977640590475001,5.3458142481333103e-05,5.428244870193502e-05,5.400164781263984e-05,0.000856266696359709,0.0007407229020675829,0.001529474505783373,0.0007163873491629003,0.000706222237894642,0.00030590599410612726,5.7253627009522775e-05
ABT-670,5.035102569389175e-05,4.223025675282488e-05,4.28008111137941e-05,4.193163598149029e-05,4.28732835344211e-05,4.181919217857053e-05,4.894069493194549e-05,5.294097903296059e-05,4.182615075498978e-05,4.2710661659774045e-05,4.2140242447162105e-05,5.14945021663079e-05,5.597283969938285e-05,5.163211793989439e-05,4.2006520980888974e-05,4.4214568463525385e-05,4.2121322903487456e-05
AGN 193109,5.3518103318223577e-05,5.5026079557678016e-05,5.0604738840018075e-05,5.084233871966754e-05,3.181069991518943e-05,3.1035185020734075e-05,3.932906907610428e-05,3.077467581415861e-05,3.104731715059797e-05,3.897631726338057e-05,3.096813649797908e-05,3.986337622065779e-05,7.971142366886133e-05,4.180088363936198e-05,3.185318958009785e-05,4.025054207992556e-05,3.114678010319153e-05
CHEMBL1683648,3.716044154835641e-05,3.390758625614225e-05,3.67911533050672e-05,3.436962663082595e-05,3.595982698590969e-05,4.4515875552451175e-05,3.811612667174441e-05,3.667577518522307e-05,4.107525268615909e-05,3.457166032536842e-05,3.475134782059989e-05,3.47807436007311e-05,3.534650506341191e-05,3.499636906051733e-05,4.1476757190971396e-05,3.633309076459243e-05,3.507723783213119e-05
