Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
RIMCAZOLE,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
E-5842,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
SIGMA ANTAGONIST,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
PENTAZOCINE LACTATE,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
PENTAZOCINE HCL,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.4027383378850133,0.8721518453708049,0.8768871393089922,0.4286826564290324,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8005924614564414,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
GIRENTUXIMAB,0.8447506844857872,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.6081851431369671,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.7991676265728226,0.8806205381788367,0.889272218857963,0.8292310695158156,0.866790498319384
CG250 111IN,0.8447506844857872,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.6081851431369671,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.7991676265728226,0.8806205381788367,0.889272218857963,0.8292310695158156,0.866790498319384
IODINE I 124 GIRENTUXIMAB,0.8447506844857872,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.6081851431369671,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.7991676265728226,0.8806205381788367,0.889272218857963,0.8292310695158156,0.866790498319384
CG250 177LU,0.8447506844857872,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.6081851431369671,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.7991676265728226,0.8806205381788367,0.889272218857963,0.8292310695158156,0.866790498319384
